Date,Topic,Reading,Read Ahead,Homework
9/4/19,Class Introduction,None,[ST chapters 1-2](http://statsthinking21.org/introduction.html); [LSR 3.1](https://learningstatisticswithr.com/book/introR.html),[(1) Install R and RStudio; (2) Statistical pre-test](/homework.html#september_4)
9/9/19,What are data?,[ST chapters 1-2](http://statsthinking21.org/introduction.html); [LSR 3.1](https://learningstatisticswithr.com/book/introR.html),[LSR chapter 6](https://learningstatisticswithr.com/book/graphics.html); [ST chapter 6](http://statsthinking21.org/data-visualization.html),[Submit a misleading graph](/homework.html#september_9)
9/11/19,Visualizing data,[LSR chapter 6](https://learningstatisticswithr.com/book/graphics.html); [ST chapter 6](http://statsthinking21.org/data-visualization.html),[ST chapter 4](http://statsthinking21.org/summarizing-data.html); [LSR 5.1-5.5](https://learningstatisticswithr.com/book/descriptives.html#centraltendency),[Improve your misleading graph](https://mrgreene09.github.io/statsMethods2019/homework/#september_11)
9/16/19,Summarizing data,[ST chapter 4](http://statsthinking21.org/summarizing-data.html); [LSR 5.1-5.5](https://learningstatisticswithr.com/book/descriptives.html#centraltendency),[ST 3.1-3.3](http://statsthinking21.org/probability.html),[Normal vs long-tailed distributions](https://mrgreene09.github.io/statsMethods2019/homework/#september_16)
9/18/19,What is probability?,[ST 3.1-3.3](http://statsthinking21.org/probability.html),[LSR 9.4](https://learningstatisticswithr.com/book/probability.html#binomial),[Batting average](https://mrgreene09.github.io/statsMethods2019/homework/#september_18)
9/23/19,Binomial distribution,[LSR 9.4](https://learningstatisticswithr.com/book/probability.html#binomial),[OSB 7.3-7.7](http://onlinestatbook.com/2/normal_distribution/history_normal.html),[Racial profiling analysis](https://mrgreene09.github.io/statsMethods2019/homework/#september_23)
9/25/19,Normal distribution,[OSB 7.3-7.7](http://onlinestatbook.com/2/normal_distribution/history_normal.html),[LSR 10.1-10.2](https://learningstatisticswithr.com/book/estimation.html),[Class data](https://mrgreene09.github.io/statsMethods2019/homework/#september_25)
9/30/19,Sampling,,,
10/2/19,Central limit theorem,,,
10/7/19,Estimating population parameters,,,
10/9/19,Confidence intervals,,,
10/14/19,Confidence intervals,,,
10/16/19,NO CLASS: FALL BREAK,,,
10/21/19,Resampling and simulation,,,
10/23/19,Theory of hypothesis testing,,,
10/28/19,Hypothesis testing through simulation,,,
10/30/19,Hypothesis testing: t-test,,,
11/4/19,Effect size,,,
11/6/19,Correlation,,,
11/11/19,Univariate linear regression,,,
11/13/19,Multivariate linear regression,,,
11/18/19,General linear model,,,
11/20/19,ANOVA,,,
11/25/19,NO CLASS: THANKSGIVING BREAK,,,
11/27/19,NO CLASS: THANKSGIVING BREAK,,,
12/2/19,Conditional probability,,,
12/4/19,Bayesian reasoning,,,
12/13/19,FINAL EXAM DUE,,,
